"Area_mm2","Perimeter_mm","ECD_mm","angle","shade"
15027.3576,741.5063382,138.3236276,108,"N"
11293.128,689.3003899,119.9118724,108,"N"
7857.5184,497.7836861,100.0225132,108,"N"
10434.1176,676.6151488,115.2611432,108,"N"
16260.2208,776.8970043,143.8859136,108,"N"
13204.0944,648.8414653,129.6610009,108,"N"
15267.4848,740.8655297,139.4244075,108,"N"
9523.1304,593.8425867,110.1146049,108,"N"
8223.6816,603.6150852,102.3265196,108,"N"
10632.636,650.3384386,116.35245,108,"N"
11595.0888,633.0560418,121.5044262,108,"N"
14570.5248,700.679322,136.2048764,108,"N"
9810.5184,588.7786556,111.7637686,108,"N"
8419.6008,576.4575179,103.5382475,108,"N"
6906.5352,541.6713433,93.77459002,108,"N"
7588.5696,656.015007,98.29581325,108,"N"
5660.0712,476.4484643,84.89185166,108,"N"
8611.9056,540.5845484,104.7139855,108,"N"
11180.5632,625.0897202,119.3127621,108,"N"
11270.088,607.8662112,119.7894892,108,"N"
7089.9336,542.8877932,95.01149314,180,"N"
11449.2528,605.2776913,120.7379038,180,"N"
10786.6008,693.2037891,117.1918371,180,"N"
10902.3912,666.2087149,117.8191649,180,"N"
11030.7672,640.194115,118.510797,180,"N"
9187.3872,618.9245693,108.1561126,180,"N"
7708.3056,555.2752009,99.06825684,180,"N"
7590.456,585.749495,98.30802989,180,"N"
7040.7288,541.1817425,94.68122481,180,"N"
8880.3936,691.8757577,106.333759,180,"N"
13177.4256,739.2249854,129.5299941,180,"N"
18788.8752,1184.685966,154.6697737,180,"N"
5869.9728,499.7944432,86.45161361,180,"N"
11276.9136,691.1437325,119.8257582,180,"N"
8495.964,594.6038861,104.0067177,180,"N"
7555.7016,585.6771156,98.08271033,180,"N"
9620.5464,606.6046196,110.6763756,180,"N"
5980.9968,519.6898825,87.2653519,180,"N"
13008.4416,710.4392623,128.6967842,180,"N"
11270.088,607.8662112,119.7894892,180,"N"
13557.4056,689.4453185,131.3842644,198,"Building"
12728.7504,646.1069985,127.3057279,198,"Building"
13794.6528,693.8323787,132.5288552,198,"Building"
12484.2384,714.799509,126.0770638,198,"Building"
14652.0144,735.7555236,136.5852267,198,"Building"
18072.9288,816.0644691,151.694323,198,"Building"
12265.2144,660.9690537,124.9662194,198,"Building"
16538.9688,748.3255345,145.1139866,198,"Building"
13185.7488,684.9173178,129.5708949,198,"Building"
13973.1912,687.6122432,133.3837306,198,"Building"
16451.4816,780.9127485,144.7296685,198,"Building"
14042.3832,710.1707032,133.7135655,198,"Building"
14387.2632,662.9233837,135.3456037,198,"Building"
15064.8696,756.8715705,138.496165,198,"Building"
12890.484,704.268002,128.1119588,198,"Building"
14946.732,714.0754599,137.9520578,198,"Building"
12146.3352,704.4788613,124.3591344,198,"Building"
11176.3728,716.454648,119.2904012,198,"Building"
12194.928,688.6527933,124.6076425,198,"Building"
13413.3768,692.0039703,130.6845124,198,"Building"
